#,Date,SHA,Author,Message,Event,ubl-2.5,ubl-2.4-csd01wd02,ubl-2.5-python,ubl-2.3-csd05-copy,ubl-2.3-cs02,ubl-2.3-os,ubl-2.3-os-iso,review,main,tsc-ubl-2.5-experimental,ubl-2.4-os,ubl-2.4-os-iso-pub,retest,ubl-2.5-kenneth,server-test,kentest,ubl-2.5-retry,ubl-2.5-dev,UBL-433-xsd-doc,ubl-2.5-2025-layout,ubl-2.4-csd01wd01,ubl-2.4-csd01,ubl-2.4-csd02-prd01-13,ubl-2.4-csd02-tsc,ubl-2.4-csd02,ubl-2.4-cs01-work,ubl-2.4-cs01
1,2018-04-11,71129c9,robincover,"add boilerplate for 3x startup files RME, CONTRIBUTING, and LICENSE",ROOT: main, , , , , , , , ,71129c9, , , , , , , , , , , , , , , , , , 
2,2018-04-11,9d8cdf1,gkholman,- update the further description,, , , , , , , , ,9d8cdf1, , , , , , , , , , , , , , , , , , 
3,2021-05-13,5b3cc2b,gkholman,Checking credentials with updated README,, , , , , , , , ,5b3cc2b, , , , , , , , , , , , , , , , , , 
4,2021-05-15,cb67846,gkholman,Initial load of files - copy of 2.3 CSD05,, , , , , , , , ,cb67846, , , , , , , , , , , , , , , , , , 
5,2021-05-16,7b7ecf6,gkholman,Polish the readme file,, , , , , , , , ,7b7ecf6, , , , , , , , , , , , , , , , , , 
6,2021-05-16,6d153bf,gkholman,More polish for the README file,BRANCH: ubl-2.3-csd05-copy, , , ,⊢→ubl-2.3-csd05-copy, , , , ,6d153bf ⊢→ubl-2.3-csd05-copy, , , , , , , , , , , , , , , , , , 
7,2021-05-16,00ffdbd,gkholman,Rebuild results on review branch,, , , , , , , , ,00ffdbd, , , , , , , , , , , , , , , , , , 
8,2021-05-16,57dda2e,gkholman,Rebuild results on edit branch,BRANCH: ubl-2.3-cs02 | ◆ TIP: ubl-2.3-csd05-copy, , , ,57dda2e ⊢→ubl-2.3-cs02,⊢→ubl-2.3-cs02, , , , , , , , , , , , , , , , , , , , , , 
9,2021-05-23,47eb1f5,gkholman,First attempt at CS02,BRANCH: ubl-2.3-os | ◆ TIP: ubl-2.3-cs02, , , , ,47eb1f5 ⊢→ubl-2.3-os,⊢→ubl-2.3-os, , , , , , , , , , , , , , , , , , , , , 
10,2021-05-23,79201eb,gkholman,Merge branch 'ubl-2.3-cs02' into review,→merged→ ubl-2.3-cs02, , , , , , , , ,79201eb, , , , , , , , , , , , , , , , , , 
11,2021-05-23,02b08d9,gkholman,Update README.md with finer details,, , , , , , , , ,02b08d9, , , , , , , , , , , , , , , , , , 
12,2021-05-26,f71d2be,gkholman,Add polish to the README file,BRANCH: ubl-2.4-csd01wd01, , , , , , , , ,f71d2be ⊢→ubl-2.4-csd01wd01, , , , , , , , , , , ,⊢→ubl-2.4-csd01wd01, , , , , , 
13,2021-05-27,83f311a,gkholman,Improve documentation; rename summary inputs without version numbers,, , , , , , , , , , , , , , , , , , , , ,83f311a, , , , , , 
14,2021-05-27,8f4c0ab,gkholman,First cut at 2.4 version of 2.3,, , , , , , , , , , , , , , , , , , , , ,8f4c0ab, , , , , , 
15,2021-05-27,f4a1d9c,gkholman,Accommodate archive directory for failed build,, , , , , , , , , , , , , , , , , , , , ,f4a1d9c, , , , , , 
16,2021-05-27,62626bc,gkholman,Update massage directives for 2.4,, , , , , , , , , , , , , , , , , , , , ,62626bc, , , , , , 
17,2021-05-27,2b8af1b,gkholman,Remove ancient SCCS information,, , , , , , , , , , , , , , , , , , , , ,2b8af1b, , , , , , 
18,2021-05-27,b869f40,gkholman,Replace 2.2 gc files with 2.3,, , , , , , , , , , , , , , , , , , , , ,b869f40, , , , , , 
19,2021-05-27,41edb7d,gkholman,Accommodate arbitrary sets of old code lists,, , , , , , , , , , , , , , , , , , , , ,41edb7d, , , , , , 
20,2021-05-27,b2e9e9b,gkholman,Accommodate Schematron for UBL 2.4,, , , , , , , , , , , , , , , , , , , , ,b2e9e9b, , , , , , 
21,2021-05-28,6c0b54a,gkholman,Accommodate failed process by preserving intermediate files,, , , , , , , , , , , , , , , , , , , , ,6c0b54a, , , , , , 
22,2021-05-28,8c4271f,gkholman,Preserve more intermediate files on error,, , , , , , , , , , , , , , , , , , , , ,8c4271f, , , , , , 
23,2021-05-28,a23102b,gkholman,Prevent ant fail on build fail,, , , , , , , , , , , , , , , , , , , , ,a23102b, , , , , , 
24,2021-05-28,5e11cd6,gkholman,No need for integrity check on error,, , , , , , , , , , , , , , , , , , , , ,5e11cd6, , , , , , 
25,2021-05-28,82da328,gkholman,Change validation invocations for version 2.4,, , , , , , , , , , , , , , , , , , , , ,82da328, , , , , , 
26,2021-05-28,31d44da,gkholman,Repair internal common schema version references,, , , , , , , , , , , , , , , , , , , , ,31d44da, , , , , , 
27,2021-05-28,eadd9b5,gkholman,Repair references to sample source files,, , , , , , , , , , , , , , , , , , , , ,eadd9b5, , , , , , 
28,2021-05-28,b99793a,gkholman,Prevent failure on bad copy,, , , , , , , , , , , , , , , , , , , , ,b99793a, , , , , , 
29,2021-05-28,6552c40,gkholman,Hub document change references from 2.3 to 2.4,, , , , , , , , , , , , , , , , , , , , ,6552c40, , , , , , 
30,2021-05-28,48ed82d,gkholman,Parameterize the schema documentation generation with the UBL version,, , , , , , , , , , , , , , , , , , , , ,48ed82d, , , , , , 
31,2021-05-28,2c85b87,gkholman,Update version in specification titles,, , , , , , , , , , , , , , , , , , , , ,2c85b87, , , , , , 
32,2021-05-28,560f5a9,gkholman,Repair previous and current location entities,, , , , , , , , , , , , , , , , , , , , ,560f5a9, , , , , , 
33,2021-05-29,db0d697,gkholman,"Implement check for pre-existing Google spreadsheets, and test",, , , , , , , , , , , , , , , , , , , , ,db0d697, , , , , , 
34,2021-05-29,471d7a5,gkholman,Remove test spreadsheets for the recovery feature; polish README file,, , , , , , , , , , , , , , , , , , , , ,471d7a5, , , , , , 
35,2021-05-29,9fb9312,gkholman,Remove test spreadsheets for the recovery feature; polish README file,, , , , , , , , , , , , , , , , , , , , ,9fb9312, , , , , , 
36,2021-05-29,67edc19,gkholman,More README tweaks,, , , , , , , , , , , , , , , , , , , , ,67edc19, , , , , , 
37,2021-05-30,7870114,gkholman,Embellish console log with title information,, , , , , , , , , , , , , , , , , , , , ,7870114, , , , , , 
38,2021-05-30,1483dd5,gkholman,Rerun spreadsheets without repository changes,, , , , , , , , , , , , , , , , , , , , ,1483dd5, , , , , , 
39,2021-06-01,21efa9e,gkholman,Revised README diagram,BRANCH: ubl-2.4-csd01wd02 | ◆ TIP: ubl-2.4-csd01wd01, ,⊢→ubl-2.4-csd01wd02, , , , , , , , , , , , , , , , , , ,21efa9e ⊢→ubl-2.4-csd01wd02, , , , , , 
40,2021-06-07,be2b4f9,gkholman,New gc2obdndr and JSON generation,, , , , , ,be2b4f9, , , , , , , , , , , , , , , , , , , , , 
41,2021-06-07,66056ef,gkholman,First try 2.3 OS release,, , , , , ,66056ef, , , , , , , , , , , , , , , , , , , , , 
42,2021-06-07,89d22de,gkholman,Merge branch 'ubl-2.3-os' into review,, , , , , ,89d22de, , , , , , , , , , , , , , , , , , , , , 
43,2021-06-18,bc99520,gkholman,Repair text in Status section,BRANCH: ubl-2.3-os-iso | BRANCH: review | ◆ TIP: ubl-2.3-os | ◆ TIP: ubl-2.3-os-iso, , , , , ,bc99520 ⊢→ubl-2.3-os-iso ⊢→review,⊢→ubl-2.3-os-iso,⊢→review, , , , , , , , , , , , , , , , , , , 
44,2021-09-09,dc2d2fc,gkholman,Revise metadata for csd01wd02,, ,dc2d2fc, , , , , , , , , , , , , , , , , , , , , , , , , 
45,2021-09-10,f5b9a7e,gkholman,Add Schematron pattern generation for Additional Document Constraints,, ,f5b9a7e, , , , , , , , , , , , , , , , , , , , , , , , , 
46,2021-09-10,a271247,gkholman,"Use XSLT 1 expressions, not XSLT 2, because of validation step",, ,a271247, , , , , , , , , , , , , , , , , , , , , , , , , 
47,2021-09-27,d9cb224,cecileguasch,Added  BRIN process diagram.drawio,, , , , , , , , , , , , , , , , , , , , , ,d9cb224, , , , , 
48,2021-09-27,8cdd81b,cecileguasch,Update  BRIN process diagram.drawio,, , , , , , , , , , , , , , , , , , , , , ,8cdd81b, , , , , 
49,2021-10-20,2298f6d,kduvekot,Merge pull request #4 from oasis-tcs/UBL-330,, ,2298f6d, , , , , , , , , , , , , , , , , , , , , , , , , 
50,2021-11-10,8610606,gkholman,UBL-335 Update XSD schema fragment for BDNDR unqualified data types,, ,8610606, , , , , , , , , , , , , , , , , , , , , , , , , 
#,Date,SHA,Author,Message,Event,ubl-2.5,ubl-2.4-csd01wd02,ubl-2.5-python,ubl-2.3-csd05-copy,ubl-2.3-cs02,ubl-2.3-os,ubl-2.3-os-iso,review,main,tsc-ubl-2.5-experimental,ubl-2.4-os,ubl-2.4-os-iso-pub,retest,ubl-2.5-kenneth,server-test,kentest,ubl-2.5-retry,ubl-2.5-dev,UBL-433-xsd-doc,ubl-2.5-2025-layout,ubl-2.4-csd01wd01,ubl-2.4-csd01,ubl-2.4-csd02-prd01-13,ubl-2.4-csd02-tsc,ubl-2.4-csd02,ubl-2.4-cs01-work,ubl-2.4-cs01
51,2021-11-12,04b283c,cecileguasch,Business Information Registration Notification,, , , , , , , , , , , , , , , , , , , , , ,04b283c, , , , , 
52,2021-11-12,a450294,cecileguasch,Draft Business Information Registration Notification BP Diagram,, , , , , , , , , , , , , , , , , , , , , ,a450294, , , , , 
53,2022-02-02,3cf4130,cecileguasch,Business Registration Information Request Notice Diagram.drawio,, , , , , , , , , , , , , , , , , , , , , ,3cf4130, , , , , 
54,2022-02-02,e905496,cecileguasch,Business Registration Information Request Notice.drawio,, , , , , , , , , , , , , , , , , , , , , ,e905496, , , , , 
55,2022-02-15,ef24f30,cecileguasch,Update summary-processes-ent.xml,, , , , , , , , , , , , , , , , , , , , , ,ef24f30, , , , , 
56,2022-02-15,d17be94,cecileguasch,Update UBL.xml,, , , , , , , , , , , , , , , , , , , , , ,d17be94, , , , , 
57,2022-02-15,5b85a78,cecileguasch,Add files via upload,, , , , , , , , , , , , , , , , , , , , , ,5b85a78, , , , , 
58,2022-02-15,1df165d,cecileguasch,Add files via upload,, , , , , , , , , , , , , , , , , , , , , ,1df165d, , , , , 
59,2022-07-20,6174dd3,cecileguasch,Update summary-processes-ent.xml,, , , , , , , , , , , , , , , , , , , , , ,6174dd3, , , , , 
60,2022-07-20,bb529e7,cecileguasch,Update UBL.xml,, , , , , , , , , , , , , , , , , , , , , ,bb529e7, , , , , 
61,2022-07-20,f97a371,cecileguasch,Add files via upload,, , , , , , , , , , , , , , , , , , , , , ,f97a371, , , , , 
62,2022-07-22,2f54fb4,cecileguasch,Update UBL.xml,, , , , , , , , , , , , , , , , , , , , , ,2f54fb4, , , , , 
63,2022-11-09,654d43a,kduvekot,Merge pull request #5 from oasis-tcs/UBL-335,, ,654d43a, , , , , , , , , , , , , , , , , , , , , , , , , 
64,2022-11-26,9fb6dfb,gkholman,Repair 2.4 csd01wd02 with a clean build,, ,9fb6dfb, , , , , , , , , , , , , , , , , , , , , , , , , 
65,2022-11-28,ecc3033,gkholman,UBL-339 Skip submission for remote publishing when publishing credentials are absent,, ,ecc3033, , , , , , , , , , , , , , , , , , , , , , , , , 
66,2022-11-28,65e3a9e,gkholman,UBL-338 Repair generation of document constratin Schematron syntax,, ,65e3a9e, , , , , , , , , , , , , , , , , , , , , , , , , 
67,2022-11-28,ad9592c,gkholman,UBL-337 Install schxslt 1.9.4,, ,ad9592c, , , , , , , , , , , , , , , , , , , , , , , , , 
68,2022-11-29,ad176db,gkholman,SD-337 Install SchXSLT and adjust invocations for XSLT 2,, ,ad176db, , , , , , , , , , , , , , , , , , , , , , , , , 
